"Statut";"URL";"Route";"Title HTML final";"Title px";"Statut title";"Description";"Description px";"Statut description";"Probleme";"Source code"
"A faire";"https://jobmi.fr";"/";"Test d'orientation gratuit, métiers et reconversion 18-25 ans";"359/600";"Bon";"Tu as 18-25 ans et tu ne sais pas quelle voie choisir ? Fais le test d'orientation Jobmi, explore des métiers et découvre comment les tester avant une formation.";"956/920";"A faire";"Description trop longue (956/920px)";"app/page.tsx + app/layout.tsx"
"A faire";"https://jobmi.fr/a-propos";"/a-propos";"À propos de Jobmi | Jobmi";"159/600";"A faire";"Jobmi est le média de référence pour l'orientation et la réorientation professionnelle des 18-25 ans. Découvrez notre mission et notre équipe.";"843/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/a-propos/layout.tsx"
"A faire";"https://jobmi.fr/blog/comment-commencer-ta-reconversion-professionnelle";"/blog/comment-commencer-ta-reconversion-professionnelle";"Reconversion professionnelle : 5 questions à te poser avant de te lancer | Jobmi";"480/600";"Bon";"Avant de te lancer dans une reconversion professionnelle, pose-toi ces 5 questions clés : motivations réelles, contraintes, timing et pistes à explorer. Un prérequis concret, pas un énième guide générique.";"1220/920";"A faire";"Description trop longue (1220/920px)";"data/articles.ts"
"A faire";"https://jobmi.fr/blog/comment-ia-booste-ton-futur-metier";"/blog/comment-ia-booste-ton-futur-metier";"Comment l'IA booste 15 métiers concrets (exemples 2026) | Jobmi";"393/600";"Bon";"Infirmier, plombier, graphiste, enseignant… L'IA ne remplace pas, elle booste. 15 exemples réels + comment apprendre en 3 mois. Test d'orientation gratuit 18-25 ans.";"988/920";"A faire";"Description trop longue (988/920px)";"app/blog/[slug]/page.tsx override + data/articles.ts"
"A faire";"https://jobmi.fr/blog/metiers-ia-ne-remplacera-pas-2030";"/blog/metiers-ia-ne-remplacera-pas-2030";"10 métiers que l’IA ne remplacera pas en 2026–2030 (salaires + formations) | Jobmi";"497/600";"Bon";"Infirmier, éducateur, plombier, enseignant… Ces 10 métiers résistent à l’IA car ils demandent empathie, créativité, terrain. Salaires, formations accessibles, comment tester avec PMSMP. Test d’orientation gratuit pour 18–25 ans.";"1364/920";"A faire";"Description trop longue (1364/920px)";"app/blog/[slug]/page.tsx override + data/articles.ts"
"A faire";"https://jobmi.fr/blog/nouveaux-metiers-crees-par-ia";"/blog/nouveaux-metiers-crees-par-ia";"10 nouveaux métiers créés par l'IA 2026 (salaires + formations accessibles) | Jobmi";"502/600";"Bon";"Prompt Engineer, IA Trainer, Data Ethicist… 10 jobs nés de l'IA, salaires 45-80k€, formations 3-12 mois. Comment se former dès 18 ans, immersions, perspectives 2030. Test gratuit.";"1075/920";"A faire";"Description trop longue (1075/920px)";"app/blog/[slug]/page.tsx override + data/articles.ts"
"A faire";"https://jobmi.fr/blog/orientation-post-bac-sans-parcoursup";"/blog/orientation-post-bac-sans-parcoursup";"Orientation post‑bac sans Parcoursup : 6 vraies options en 2026 | Jobmi";"432/600";"Bon";"Rien eu sur Parcoursup ou hors délai ? Découvre 6 options concrètes (écoles, alternance, rentrées décalées, année terrain…) pour ne pas perdre 1 an et avancer vraiment.";"1003/920";"A faire";"Description trop longue (1003/920px)";"app/blog/[slug]/page.tsx override + data/articles.ts"
"A faire";"https://jobmi.fr/blog/pmsmp-18-25-tester-metier-immersion";"/blog/pmsmp-18-25-tester-metier-immersion";"PMSMP 18–25 ans : comment tester un métier en immersion avant de te reconvertir | Jobmi";"538/600";"Bon";"Guide complet PMSMP 18–25 ans : définition, conditions, Mission Locale, France Travail, entreprise d’accueil, droits et étapes pour tester un métier en immersion.";"975/920";"A faire";"Description trop longue (975/920px)";"app/blog/[slug]/page.tsx override + data/articles.ts"
"A faire";"https://jobmi.fr/blog/top-10-des-metiers-cool-pour-2026-que-tu-dois-connaitre";"/blog/top-10-des-metiers-cool-pour-2026-que-tu-dois-connaitre";"Top 10 des métiers cool pour 2026 que tu dois connaître | Jobmi";"385/600";"Bon";"Top 10 des métiers cool 2026 : développeur VR, expert IA, data scientist… Salaires, formations et conseils concrets pour choisir ta voie. Lequel te correspond ?";"949/920";"A faire";"Description trop longue (949/920px)";"data/articles.ts"
"A faire";"https://jobmi.fr/cgu";"/cgu";"Conditions Générales d'Utilisation | Jobmi | Jobmi";"302/600";"A faire";"Consultez les conditions générales d'utilisation du site Jobmi.";"377/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/cgu/page.tsx + app/cgu/layout.tsx"
"A faire";"https://jobmi.fr/evenements-orientation";"/evenements-orientation";"Événements d'orientation, salons et immersions pour les 18–25 ans | Jobmi";"448/600";"Bon";"Agenda des événements d'orientation pour les 18–25 ans : salons, journées portes ouvertes, ateliers métiers, immersions et carte interactive par ville et format.";"954/920";"A faire";"Description trop longue (954/920px)";"app/evenements-orientation/page.tsx"
"A faire";"https://jobmi.fr/evenements/ateliers-metiers";"/evenements/ateliers-metiers";"Ateliers métiers et découvertes terrain | Jobmi | Jobmi";"327/600";"A faire";"Découvre les ateliers métiers et formats courts qui permettent de tester un geste, un secteur ou un univers professionnel avant de choisir.";"824/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/evenements/ateliers-metiers/page.tsx"
"A faire";"https://jobmi.fr/evenements/en-ligne";"/evenements/en-ligne";"Événements d'orientation en ligne | Jobmi | Jobmi";"300/600";"A faire";"Retrouve les événements d'orientation en ligne utiles aux 18–25 ans : webinaires, forums digitaux, informations métiers et formats à distance.";"848/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/evenements/en-ligne/page.tsx"
"A faire";"https://jobmi.fr/evenements/forum-alternance-metiers-qui-recrutent-lyon";"/evenements/forum-alternance-metiers-qui-recrutent-lyon";"Forum alternance et métiers qui recrutent à Lyon | Jobmi | Jobmi";"388/600";"A faire";"Un forum concret pour rencontrer des CFA, employeurs et organismes quand tu veux une voie professionnalisante. Lyon, Auvergne-Rhône-Alpes. Dates : 24 septembre 2026.";"1019/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (1019/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/forum-jeunes-emploi-orientation-rennes";"/evenements/forum-jeunes-emploi-orientation-rennes";"Forum jeunes, emploi et orientation à Rennes | Jobmi | Jobmi";"367/600";"A faire";"Un forum orienté action pour rencontrer des acteurs utiles quand tu veux avancer sans attendre la rentrée suivante. Rennes, Bretagne. Dates : 5 novembre 2026.";"949/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (949/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/journee-portes-ouvertes-psychologie-sciences-humaines-lyon";"/evenements/journee-portes-ouvertes-psychologie-sciences-humaines-lyon";"Journée portes ouvertes - psychologie et sciences humaines à Lyon | Jobmi | Jobmi";"502/600";"A faire";"Une JPO utile pour comprendre ce qu'il y a vraiment derrière une licence très demandée et souvent mal connue. Lyon, Auvergne-Rhône-Alpes. Dates : 14 novembre 2026.";"1001/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (1001/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/journees-portes-ouvertes";"/evenements/journees-portes-ouvertes";"Journées portes ouvertes écoles et formations | Jobmi | Jobmi";"374/600";"A faire";"Repère les journées portes ouvertes utiles pour comparer une école, une université, un CFA ou une formation avant de t'engager.";"765/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/evenements/journees-portes-ouvertes/page.tsx"
"A faire";"https://jobmi.fr/evenements/permanence-orientation-immersion-mission-locale-paris-centre";"/evenements/permanence-orientation-immersion-mission-locale-paris-centre";"Permanence orientation et immersion - Mission Locale Paris Centre | Jobmi | Jobmi";"499/600";"A faire";"Une permanence utile si tu veux un point d'entrée humain pour parler orientation, stage, PMSMP ou réorientation. Paris, Île-de-France. Dates : 27 mai 2026.";"927/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (927/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/reunion-info-pmsmp-immersion-logistique-marseille";"/evenements/reunion-info-pmsmp-immersion-logistique-marseille";"Réunion info PMSMP et immersion logistique à Marseille | Jobmi | Jobmi";"436/600";"A faire";"Une réunion utile pour comprendre comment décrocher une immersion pro encadrée dans la logistique ou le transport. Marseille, Provence-Alpes-Côte d'Azur. Dates : 11 juin 2026.";"1061/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (1061/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/salon-etudiant-orientation-post-bac-paris-2026";"/evenements/salon-etudiant-orientation-post-bac-paris-2026";"Salon de l'Étudiant - Orientation & post-bac à Paris | Jobmi | Jobmi";"403/600";"A faire";"Un grand rendez-vous pour comparer filières, écoles et débouchés sans rester bloqué sur un seul discours. Paris, Île-de-France. Dates : 10 octobre 2026 - 12 octobre 2026.";"1018/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (1018/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/salon-orientation-metiers-avenir-toulouse";"/evenements/salon-orientation-metiers-avenir-toulouse";"Salon orientation et métiers d'avenir à Toulouse | Jobmi | Jobmi";"385/600";"A faire";"Un salon pour croiser orientation, secteurs qui recrutent et formats de formation accessibles. Toulouse, Occitanie. Dates : 3 octobre 2026 - 4 octobre 2026.";"922/920";"A faire";"Marque Jobmi doublon ou deja presente avant template | Description trop longue (922/920px)";"app/evenements/[slug]/page.tsx + data/events.ts"
"A faire";"https://jobmi.fr/evenements/salons";"/evenements/salons";"Salons d'orientation, salons étudiant et forums | Jobmi | Jobmi";"377/600";"A faire";"Compare les salons d'orientation, salons étudiant et forums utiles aux 18–25 ans pour choisir une voie, une formation ou une réorientation.";"826/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/evenements/salons/page.tsx"
"A faire";"https://jobmi.fr/immersions/atelier-ux-design-en-ligne";"/immersions/atelier-ux-design-en-ligne";"Atelier découverte UX design en ligne | Immersion métier 18–25 ans | Jobmi";"449/600";"Bon";"Une fiche type pour découvrir la démarche UX avant de choisir une école design, une formation digitale ou un parcours produit. Métier visé : UX designer, UI designer, product designer. Ville : En ligne. Niveau : Curieux ou débutant.";"1372/920";"A faire";"Description trop longue (1372/920px)";"app/immersions/[slug]/page.tsx + data/immersionOffers.ts"
"A faire";"https://jobmi.fr/immersions/immersion-sante-social-lyon";"/immersions/immersion-sante-social-lyon";"Immersion santé-social à Lyon | Immersion métier 18–25 ans | Jobmi";"408/600";"Bon";"Une fiche type pour vérifier la réalité du contact humain, du rythme et de la charge émotionnelle avant une formation santé ou social. Métier visé : Infirmier, éducateur spécialisé, assistant social. Ville : Lyon. Niveau : Projet à clarifier.";"1406/920";"A faire";"Description trop longue (1406/920px)";"app/immersions/[slug]/page.tsx + data/immersionOffers.ts"
"A faire";"https://jobmi.fr/immersions/stage-observation-developpeur-web-paris";"/immersions/stage-observation-developpeur-web-paris";"Stage d'observation développeur web à Paris | Immersion métier 18–25 ans | Jobmi";"493/600";"Bon";"Une fiche type pour comprendre ce qu'une immersion développeur web doit rendre clair avant une formation tech, un bootcamp ou une alternance. Métier visé : Développeur web junior. Ville : Paris. Niveau : Débutant accepté.";"1333/920";"A faire";"Description trop longue (1333/920px)";"app/immersions/[slug]/page.tsx + data/immersionOffers.ts"
"A faire";"https://jobmi.fr/politique-de-confidentialite";"/politique-de-confidentialite";"Politique de Confidentialité | Jobmi | Jobmi";"262/600";"A faire";"Consultez la politique de confidentialité du site Jobmi.";"331/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"app/politique-de-confidentialite/page.tsx + app/politique-de-confidentialite/layout.tsx"
"A faire";"https://jobmi.fr/que-faire-apres-le-bac";"/que-faire-apres-le-bac";"Que faire après le bac ? Guide d'orientation post-bac pour les 18–20 ans | Jobmi";"472/600";"Bon";"Tu ne sais pas quoi faire après le bac ? Fac, BTS, BUT, écoles, alternance, réorientation : guide complet pour clarifier ton projet et tester des métiers avant de choisir.";"995/920";"A faire";"Description trop longue (995/920px)";"app/que-faire-apres-le-bac/page.tsx"
"A faire";"https://jobmi.fr/salons-orientation-nantes";"/salons-orientation-nantes";"Salons d'orientation à Nantes pour les 18–25 ans | Agenda Jobmi | Jobmi";"433/600";"A faire";"Trouve les salons, JPO, forums alternance et ateliers métiers utiles à Nantes pour ton orientation post-bac ou ta réorientation.";"754/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"data/geoPages.ts"
"A faire";"https://jobmi.fr/stage-et-formation";"/stage-et-formation";"Stages et immersions pour les 18–25 ans | Tester un métier | Jobmi";"400/600";"Bon";"Stages d'observation, PMSMP, immersions métier, alternance : compare les formats pour tester un métier et choisir une formation utile quand tu as 18–25 ans.";"941/920";"A faire";"Description trop longue (941/920px)";"app/stage-et-formation/page.tsx"
"A faire";"https://jobmi.fr/test-orientation";"/test-orientation";"Test d'orientation gratuit pour 18–25 ans, trouve ta voie | Jobmi";"378/600";"Bon";"Tu ne sais pas quel métier te correspond ? Passe le test d'orientation Jobmi, conçu pour les 18–25 ans. Résultats personnalisés, pistes concrètes, 100 % gratuit.";"959/920";"A faire";"Description trop longue (959/920px)";"app/orientation/test-orientation-jeunes/content.tsx"
"A faire";"https://jobmi.fr/test-orientation-18-25-ans";"/test-orientation-18-25-ans";"Test d'orientation gratuit pour 18–25 ans, trouve ta voie | Jobmi";"378/600";"Bon";"Tu ne sais pas quel métier te correspond ? Passe le test d'orientation Jobmi, conçu pour les 18–25 ans. Résultats personnalisés, pistes concrètes, 100 % gratuit.";"959/920";"A faire";"Description trop longue (959/920px)";"app/orientation/test-orientation-jeunes/content.tsx"
"A faire";"https://jobmi.fr/tester-metiers-paris";"/tester-metiers-paris";"Tester des métiers à Paris quand tu as 18-25 ans | Jobmi";"340/600";"Bon";"Découvre comment tester des métiers à Paris quand tu as 18-25 ans : ateliers, PMSMP, stages d’observation, journées d’immersion en école, et accompagnement par Jobmi.";"1033/920";"A faire";"Description trop longue (1033/920px)";"app/tester-metiers-paris/page.tsx"
"A faire";"https://jobmi.fr/tester-un-metier";"/tester-un-metier";"Tester un métier avant de se lancer - Ateliers, stages et immersions | Jobmi";"454/600";"Bon";"Comment tester un métier concrètement avant de choisir ta formation ? Ateliers, PMSMP, stages d'observation, jobshadowing : Jobmi t'aide à trouver l'expérience qu'il te faut.";"1042/920";"A faire";"Description trop longue (1042/920px)";"app/tester-un-metier/page.tsx"
"A faire";"https://jobmi.fr/tester-un-metier-lyon";"/tester-un-metier-lyon";"Tester un métier à Lyon quand tu as 18–25 ans | Jobmi | Jobmi";"372/600";"A faire";"Ateliers, PMSMP, stages d'observation, JPO : découvre comment tester un métier à Lyon avant de choisir une formation ou une reconversion.";"840/920";"Bon";"Marque Jobmi doublon ou deja presente avant template";"data/geoPages.ts"
"Bon";"https://jobmi.fr/blog";"/blog";"Blog — Conseils Orientation & Reconversion | Jobmi";"307/600";"Bon";"Guides pratiques, conseils et ressources pour ton orientation et ta reconversion professionnelle. Articles écrits pour les 18-25 ans.";"783/920";"Bon";"";"app/blog/page.tsx"
"Bon";"https://jobmi.fr/blog/alternance-ou-formation-continue-que-choisir";"/blog/alternance-ou-formation-continue-que-choisir";"Alternance ou formation continue : que choisir à 22 ans ? | Jobmi";"386/600";"Bon";"Alternance ou formation continue : comparaison complète pour faire le bon choix à 22 ans. Avantages, inconvénients et critères de décision.";"837/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/bilan-de-competences-gratuit-guide";"/blog/bilan-de-competences-gratuit-guide";"Bilan de compétences gratuit : tout ce qu'il faut savoir en 2026 | Jobmi";"424/600";"Bon";"Guide complet du bilan de compétences gratuit : qui y a droit, comment l'obtenir gratuitement, déroulement et différence avec un test d'orientation.";"877/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/comment-preparer-une-immersion-metier";"/blog/comment-preparer-une-immersion-metier";"Comment préparer une immersion métier avant de te lancer | Jobmi";"398/600";"Bon";"Préparer une immersion métier : objectifs, questions à poser, signaux à observer et bilan pour confirmer une orientation ou une reconversion.";"841/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/comment-trouver-le-job-de-tes-reves-a-20-ans-guide-ultime-pour-jeunes-en-reconversion";"/blog/comment-trouver-le-job-de-tes-reves-a-20-ans-guide-ultime-pour-jeunes-en-reconversion";"Comment trouver le job de tes rêves à 20 ans : guide ultime pour jeunes en reconversion | Jobmi";"574/600";"Bon";"À 20 ans, comment trouver un job qui te correspond vraiment ? Méthode concrète, pistes métiers et étapes pour te réorienter sans choisir par défaut.";"881/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/erreurs-reconversion-jeune";"/blog/erreurs-reconversion-jeune";"Reconversion jeune : les erreurs à éviter entre 18 et 25 ans | Jobmi";"401/600";"Bon";"Les erreurs à éviter pour une reconversion jeune : choisir une formation trop vite, négliger le terrain, rester seul et confondre fuite et projet.";"835/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/financer-reconversion-jeune";"/blog/financer-reconversion-jeune";"Financer sa reconversion quand on est jeune : les options réalistes | Jobmi";"451/600";"Bon";"Comment financer une reconversion jeune : alternance, CPF, Mission Locale, aides régionales, France Travail et formations courtes.";"791/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/financer-sa-formation-sans-cpf";"/blog/financer-sa-formation-sans-cpf";"Comment financer sa formation sans CPF : 8 solutions en 2026 | Jobmi";"421/600";"Bon";"Comment financer sa formation sans CPF en 2026 : alternance, France Travail, OPCO, aides régionales et MOOC gratuits — toutes les solutions.";"849/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/jobshadowing-decouvrir-metier";"/blog/jobshadowing-decouvrir-metier";"Jobshadowing : suivre un pro pour découvrir un métier | Jobmi";"372/600";"Bon";"Jobshadowing : définition, utilité, méthode pour trouver un professionnel et différence avec une PMSMP ou un stage d’observation.";"784/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/metiers-sans-diplome-qui-paient-bien";"/blog/metiers-sans-diplome-qui-paient-bien";"Top 15 des métiers sans diplôme qui paient bien en 2026 | Jobmi";"388/600";"Bon";"Top 15 des métiers sans diplôme qui paient bien en 2026 : salaires, formations accessibles et conseils pour se lancer rapidement.";"780/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/mission-locale-orientation-jeune";"/blog/mission-locale-orientation-jeune";"Mission Locale : comment t'en servir pour ton orientation | Jobmi";"390/600";"Bon";"Mission Locale et orientation jeune : accompagnement, immersion, aides, formation et méthode pour préparer ton premier rendez-vous.";"801/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/que-faire-apres-le-bac-sans-idee";"/blog/que-faire-apres-le-bac-sans-idee";"Que faire après le bac quand tu n'as aucune idée ? | Jobmi";"346/600";"Bon";"Que faire après le bac sans idée : méthode pour éliminer, explorer les familles de métiers, tester le terrain et choisir une prochaine étape.";"824/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/reconversion-apres-une-l1";"/blog/reconversion-apres-une-l1";"Réorientation après une L1 : que faire si ta première année ne te convient pas ? | Jobmi";"520/600";"Bon";"Réorientation après une L1 : passerelles, BTS, BUT, alternance, formations courtes et méthode pour choisir une suite cohérente.";"764/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/reconversion-professionnelle-20-ans-guide-complet";"/blog/reconversion-professionnelle-20-ans-guide-complet";"Plan d’action reconversion à 20 ans : quoi faire en 30 jours | Jobmi";"404/600";"Bon";"Plan d’action reconversion à 20 ans : 30 jours pour faire le point, explorer les métiers, tester le terrain et préparer une formation sans se précipiter.";"884/920";"Bon";"";"app/blog/[slug]/page.tsx override + data/articles.ts"
"Bon";"https://jobmi.fr/blog/se-reconvertir-apres-bac-plus-2";"/blog/se-reconvertir-apres-bac-plus-2";"Se reconvertir après un bac+2 : 5 chemins possibles | Jobmi";"360/600";"Bon";"Se reconvertir après un bac+2 : licence pro, formation courte, VAE, entrepreneuriat ou auto-formation — les 5 chemins et comment choisir le bon.";"855/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/utiliser-cpf-compte-personnel-formation";"/blog/utiliser-cpf-compte-personnel-formation";"CPF : comment utiliser son compte personnel de formation en 2026 | Jobmi";"446/600";"Bon";"Guide complet pour utiliser son CPF en 2026 : démarches, meilleures formations éligibles, reste à charge et arnaques à éviter.";"754/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/blog/utiliser-profil-riasec-orientation";"/blog/utiliser-profil-riasec-orientation";"Comment utiliser ton profil RIASEC pour choisir une voie | Jobmi";"386/600";"Bon";"Profil RIASEC et orientation : comment interpréter tes résultats, choisir des familles de métiers et transformer le test en actions concrètes.";"831/920";"Bon";"";"data/articles.ts"
"Bon";"https://jobmi.fr/carte-orientation";"/carte-orientation";"Carte orientation, salons et immersions pour les 18–25 ans | Jobmi";"397/600";"Bon";"Trouve sur la carte Jobmi les salons, journées portes ouvertes, ateliers métiers et immersions utiles à ton orientation.";"709/920";"Bon";"";"app/carte-orientation/page.tsx"
"Bon";"https://jobmi.fr/carte-orientation/lyon";"/carte-orientation/lyon";"Carte des événements d’orientation à Lyon pour les 18–25 ans | Jobmi";"419/600";"Bon";"Repère les salons, forums alternance, JPO et événements utiles pour avancer dans ton orientation à Lyon.";"633/920";"Bon";"";"app/carte-orientation/[city]/page.tsx"
"Bon";"https://jobmi.fr/carte-orientation/nantes";"/carte-orientation/nantes";"Carte des événements d’orientation à Nantes pour les 18–25 ans | Jobmi";"430/600";"Bon";"Retrouve les événements d’orientation utiles à Nantes : salons, ateliers, JPO et formats de découverte pour les 18–25 ans.";"731/920";"Bon";"";"app/carte-orientation/[city]/page.tsx"
"Bon";"https://jobmi.fr/carte-orientation/paris";"/carte-orientation/paris";"Carte des événements d’orientation à Paris pour les 18–25 ans | Jobmi";"421/600";"Bon";"Salons, journées portes ouvertes, immersions, ateliers métiers et événements utiles pour s’orienter à Paris.";"647/920";"Bon";"";"app/carte-orientation/[city]/page.tsx"
"Bon";"https://jobmi.fr/contact";"/contact";"Contact | Jobmi";"94/600";"Bon";"Une question sur Jobmi ? Contacte notre équipe via ce formulaire.";"391/920";"Bon";"";"app/contact/layout.tsx"
"Bon";"https://jobmi.fr/inscription";"/inscription";"Inscription | Jobmi";"113/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/inscription/layout.tsx"
"Bon";"https://jobmi.fr/me-connecter";"/me-connecter";"Connexion | Jobmi";"110/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/me-connecter/layout.tsx"
"Bon";"https://jobmi.fr/mention-legales";"/mention-legales";"Mentions Légales | Jobmi";"154/600";"Bon";"Consultez les mentions légales du site Jobmi.";"277/920";"Bon";"";"app/mention-legales/page.tsx + app/mention-legales/layout.tsx"
"Bon";"https://jobmi.fr/orientation-paris";"/orientation-paris";"Orientation à Paris pour les 18–25 ans | Salons, tests et immersions | Jobmi";"452/600";"Bon";"Guide local pour avancer dans ton orientation à Paris : test d'orientation, salons étudiants, JPO, ateliers métiers, stages et immersions.";"812/920";"Bon";"";"data/geoPages.ts"
"Bon";"https://jobmi.fr/outil/temps-devant-toi";"/outil/temps-devant-toi";"Combien de temps te reste-t-il vraiment pour changer de voie ? | Jobmi";"419/600";"Bon";"Visualise ton temps de vie mois par mois pour comprendre qu'une réorientation à 18, 20 ou 25 ans n'arrive pas trop tard.";"716/920";"Bon";"";"app/outil/temps-devant-toi/page.tsx"
"Bon";"https://jobmi.fr/outils";"/outils";"Les outils | Jobmi";"109/600";"Bon";"Retrouve les outils Jobmi pour clarifier ton orientation, remettre une réorientation en perspective et avancer plus concrètement.";"763/920";"Bon";"";"app/outils/page.tsx"
"Bon";"https://jobmi.fr/profil";"/profil";"Profil | Jobmi";"82/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/profil/layout.tsx"
"Bon";"https://jobmi.fr/profile";"/profile";"Mon profil | Jobmi";"109/600";"Bon";"Jobmi aide les 18-25 ans à trouver leur voie : tests d'orientation, guides de reconversion, métiers d'avenir et formations adaptées à ton profil.";"848/920";"Bon";"";"app/profile/layout.tsx"
"Bon";"https://jobmi.fr/reconversion";"/reconversion";"Reconversion professionnelle à 20 ans — Guide complet pour jeunes | Jobmi";"449/600";"Bon";"Changer de voie à 20 ans, c'est possible et souvent le meilleur moment. Guide complet : par où commencer, comment financer, erreurs à éviter.";"853/920";"Bon";"";"app/reconversion/page.tsx"
"Bon";"https://jobmi.fr/test";"/test";"Passer le test d'orientation gratuit (RIASEC) | Jobmi";"311/600";"Bon";"Passe le test d'orientation RIASEC gratuit Jobmi. En 15 min, découvre ton profil, tes familles de métiers et tes prochaines étapes concrètes.";"839/920";"Bon";"";"app/test/page.tsx + app/test/layout.tsx"
"Bon";"https://jobmi.fr/tester-metier/developpeur-web";"/tester-metier/developpeur-web";"Comment tester le métier de développeur web avant une formation | Jobmi";"441/600";"Bon";"Découvre comment tester le métier de développeur web : observation, mini-projet, immersion, questions à poser et signaux à vérifier avant une formation.";"916/920";"Bon";"";"data/jobTestingPages.ts"
"Bon";"https://jobmi.fr/tester-metier/infirmier";"/tester-metier/infirmier";"Comment tester le métier d'infirmier avant de t'engager | Jobmi";"377/600";"Bon";"Relation patient, rythme, charge émotionnelle, études : voici comment tester le métier d'infirmier avant une formation ou une réorientation.";"828/920";"Bon";"";"data/jobTestingPages.ts"
"Bon";"https://jobmi.fr/tester-metier/ux-designer";"/tester-metier/ux-designer";"Comment tester le métier d'UX designer avant une école | Jobmi";"382/600";"Bon";"Atelier, portfolio, recherche utilisateur, outils : découvre comment tester le métier d'UX designer avant une formation design ou digitale.";"814/920";"Bon";"";"data/jobTestingPages.ts"